timestamp,runs_done,accept,median_s,success_rate,avg_attacks,pop,gens,elitism,tourn_k,cross,mut
2025-09-21 09:02:25,34,1,0.027288,0.9706,0.029,200,1000,2,3,0.800,0.150
2025-09-21 09:02:27,68,1,0.031105,1.0000,0.000,200,1000,2,3,0.800,0.150
2025-09-21 09:02:30,102,0,0.031105,1.0000,0.000,200,1000,2,3,0.800,0.150
2025-09-21 09:02:33,136,0,0.031105,1.0000,0.000,200,1000,2,3,0.800,0.150
2025-09-21 09:02:37,170,0,0.031105,1.0000,0.000,200,1000,2,3,0.800,0.150
2025-09-21 09:02:38,204,1,0.021062,1.0000,0.000,200,1000,2,3,0.800,0.150
2025-09-21 09:02:39,238,0,0.021062,1.0000,0.000,200,1000,2,3,0.800,0.150
2025-09-21 09:02:41,272,0,0.021062,1.0000,0.000,200,1000,2,3,0.800,0.150
2025-09-21 09:02:43,306,0,0.021062,1.0000,0.000,200,1000,2,3,0.800,0.150
2025-09-21 09:02:46,340,0,0.021062,1.0000,0.000,200,1000,2,3,0.800,0.150
2025-09-21 09:02:49,374,0,0.021062,1.0000,0.000,200,1000,2,3,0.800,0.150
2025-09-21 09:02:51,408,0,0.021062,1.0000,0.000,200,1000,2,3,0.800,0.150
2025-09-21 09:02:53,442,1,0.020574,1.0000,0.000,200,1000,2,3,0.800,0.150
2025-09-21 09:02:55,476,0,0.020574,1.0000,0.000,200,1000,2,3,0.800,0.150
2025-09-21 09:02:56,510,1,0.018394,1.0000,0.000,200,1000,2,3,0.800,0.150
2025-09-21 09:02:59,544,0,0.018394,1.0000,0.000,200,1000,2,3,0.800,0.150
2025-09-21 09:03:01,578,0,0.018394,1.0000,0.000,200,1000,2,3,0.800,0.150
2025-09-21 09:03:02,612,0,0.018394,1.0000,0.000,200,1000,2,3,0.800,0.150
2025-09-21 09:03:04,646,0,0.018394,1.0000,0.000,200,1000,2,3,0.800,0.150
2025-09-21 09:03:07,680,0,0.018394,1.0000,0.000,200,1000,2,3,0.800,0.150
2025-09-21 09:03:09,714,0,0.018394,1.0000,0.000,200,1000,2,3,0.800,0.150
2025-09-21 09:03:14,748,0,0.018394,1.0000,0.000,200,1000,2,3,0.800,0.150
2025-09-21 09:03:16,782,0,0.018394,1.0000,0.000,200,1000,2,3,0.800,0.150
2025-09-21 09:03:16,816,0,0.018394,1.0000,0.000,200,1000,2,3,0.800,0.150
2025-09-21 09:03:18,850,1,0.047243,1.0000,0.000,200,1000,2,3,0.800,0.150
2025-09-21 09:03:19,884,1,0.028320,1.0000,0.000,200,1000,2,3,0.800,0.150
2025-09-21 09:03:21,918,0,0.028320,1.0000,0.000,200,1000,2,3,0.800,0.150
2025-09-21 09:03:24,952,0,0.028320,1.0000,0.000,200,1000,2,3,0.800,0.150
2025-09-21 09:03:26,986,0,0.028320,1.0000,0.000,200,1000,2,3,0.800,0.150
2025-09-21 09:03:28,1020,0,0.028320,1.0000,0.000,200,1000,2,3,0.800,0.150
2025-09-21 09:03:31,1054,0,0.028320,1.0000,0.000,200,1000,2,3,0.800,0.150
2025-09-21 09:03:32,1088,0,0.028320,1.0000,0.000,200,1000,2,3,0.800,0.150
2025-09-21 09:03:36,1122,0,0.028320,1.0000,0.000,200,1000,2,3,0.800,0.150
2025-09-21 09:03:39,1156,0,0.028320,1.0000,0.000,200,1000,2,3,0.800,0.150
2025-09-21 09:03:42,1190,1,0.024127,1.0000,0.000,200,1000,2,3,0.800,0.150
2025-09-21 09:03:44,1224,0,0.024127,1.0000,0.000,200,1000,2,3,0.800,0.150
2025-09-21 09:03:46,1258,0,0.024127,1.0000,0.000,200,1000,2,3,0.800,0.150
2025-09-21 09:03:48,1292,0,0.024127,1.0000,0.000,200,1000,2,3,0.800,0.150
