timestamp,runs_done,accept,median_s,best_median_s,success_rate,avg_attacks,pop,gens,elitism,tourn_k,cross,mut
2025-09-22 05:40:51,34,1,0.664323,0.664323,1.0000,0.000,76,2250,8,5,0.725,0.053
2025-09-22 05:41:47,68,0,0.664323,0.664323,1.0000,0.000,76,2250,8,5,0.725,0.053
2025-09-22 05:42:48,102,0,0.664323,0.664323,1.0000,0.000,76,2250,8,5,0.725,0.053
2025-09-22 05:43:41,136,0,0.664323,0.664323,1.0000,0.000,76,2250,8,5,0.725,0.053
2025-09-22 05:44:03,170,1,0.653457,0.653457,1.0000,0.000,76,2250,8,5,0.725,0.053
2025-09-22 05:44:12,204,0,0.653457,0.653457,1.0000,0.000,76,2250,8,5,0.725,0.053
2025-09-22 05:44:26,238,0,0.653457,0.653457,1.0000,0.000,76,2250,8,5,0.725,0.053
2025-09-22 05:44:37,272,0,0.653457,0.653457,1.0000,0.000,76,2250,8,5,0.725,0.053
2025-09-22 05:45:08,306,0,0.653457,0.653457,1.0000,0.000,76,2250,8,5,0.725,0.053
2025-09-22 05:45:44,340,0,0.653457,0.653457,1.0000,0.000,76,2250,8,5,0.725,0.053
2025-09-22 05:45:55,374,0,0.653457,0.653457,1.0000,0.000,76,2250,8,5,0.725,0.053
2025-09-22 05:45:59,408,0,0.653457,0.653457,1.0000,0.000,76,2250,8,5,0.725,0.053
2025-09-22 05:46:03,442,1,0.383563,0.383563,1.0000,0.000,75,2395,7,5,0.708,0.020
2025-09-22 05:46:33,476,1,0.358682,0.358682,1.0000,0.000,75,2395,7,5,0.708,0.020
2025-09-22 05:46:45,510,0,0.358682,0.358682,1.0000,0.000,75,2395,7,5,0.708,0.020
2025-09-22 06:00:05,544,0,0.358682,0.358682,1.0000,0.000,75,2395,7,5,0.708,0.020
2025-09-22 06:00:12,578,1,0.326149,0.326149,1.0000,0.000,71,2320,8,5,0.728,0.056
2025-09-22 06:00:16,612,0,0.326149,0.326149,1.0000,0.000,71,2320,8,5,0.728,0.056
2025-09-22 06:00:27,646,0,0.326149,0.326149,1.0000,0.000,71,2320,8,5,0.728,0.056
2025-09-22 06:01:04,680,0,0.326149,0.326149,1.0000,0.000,71,2320,8,5,0.728,0.056
2025-09-22 06:01:35,714,0,0.326149,0.326149,1.0000,0.000,71,2320,8,5,0.728,0.056
2025-09-22 06:02:10,748,0,0.326149,0.326149,1.0000,0.000,71,2320,8,5,0.728,0.056
2025-09-22 06:02:15,782,1,0.292648,0.292648,1.0000,0.000,71,2320,8,5,0.728,0.056
2025-09-22 06:02:23,816,0,0.292648,0.292648,1.0000,0.000,71,2320,8,5,0.728,0.056
