timestamp,runs_done,accept,median_s,best_median_s,success_rate,avg_attacks,pop,gens,elitism,tourn_k,cross,mut
2025-09-22 05:38:02,34,0,0.662613,0.662613,1.0000,0.000,91,2088,9,6,0.766,0.020
2025-09-22 05:38:06,68,1,0.538126,0.538126,1.0000,0.000,91,2088,9,6,0.766,0.020
2025-09-22 05:38:44,102,1,0.518705,0.518705,1.0000,0.000,83,2018,8,7,0.728,0.053
2025-09-22 05:39:26,136,0,0.518705,0.518705,1.0000,0.000,83,2018,8,7,0.728,0.053
2025-09-22 05:39:44,170,1,0.398163,0.398163,1.0000,0.000,77,2053,9,7,0.726,0.096
