timestamp,runs_done,accept,median_s,best_median_s,success_rate,avg_attacks,pop,gens,elitism,tourn_k,cross,mut
2025-09-22 06:51:45,34,1,2.385748,2.385748,1.0000,0.000,155,878,9,6,0.779,0.020
2025-09-22 06:53:49,68,0,2.385748,2.385748,1.0000,0.000,155,878,9,6,0.779,0.020
2025-09-22 06:57:54,102,0,2.385748,2.385748,1.0000,0.000,155,878,9,6,0.779,0.020
2025-09-22 07:01:48,136,1,1.515696,1.515696,1.0000,0.000,155,878,9,6,0.779,0.020
2025-09-22 07:03:53,170,0,1.515696,1.515696,1.0000,0.000,155,878,9,6,0.779,0.020
2025-09-22 07:04:02,204,0,1.515696,1.515696,1.0000,0.000,155,878,9,6,0.779,0.020
2025-09-22 07:04:16,238,0,1.515696,1.515696,1.0000,0.000,155,878,9,6,0.779,0.020
2025-09-22 07:07:52,272,0,1.515696,1.515696,1.0000,0.000,155,878,9,6,0.779,0.020
2025-09-22 07:08:05,306,0,1.515696,1.515696,1.0000,0.000,155,878,9,6,0.779,0.020
2025-09-22 07:09:54,340,0,1.515696,1.515696,1.0000,0.000,155,878,9,6,0.779,0.020
2025-09-22 07:11:54,374,1,1.900878,1.515696,1.0000,0.000,155,878,9,6,0.779,0.020
2025-09-22 07:15:53,408,0,1.900878,1.515696,1.0000,0.000,155,878,9,6,0.779,0.020
2025-09-22 07:30:00,442,0,1.900878,1.515696,1.0000,0.000,155,878,9,6,0.779,0.020
2025-09-22 07:42:04,476,0,1.900878,1.515696,1.0000,0.000,155,878,9,6,0.779,0.020
2025-09-22 07:46:03,510,1,1.476925,1.476925,1.0000,0.000,155,878,9,6,0.779,0.020
2025-09-22 07:53:06,544,0,1.476925,1.476925,1.0000,0.000,155,878,9,6,0.779,0.020
2025-09-22 07:53:32,578,1,1.425206,1.425206,1.0000,0.000,155,878,9,6,0.779,0.020
2025-09-22 07:53:45,612,0,1.425206,1.425206,1.0000,0.000,155,878,9,6,0.779,0.020
2025-09-22 07:54:02,646,0,1.425206,1.425206,1.0000,0.000,155,878,9,6,0.779,0.020
2025-09-22 07:54:37,680,0,1.425206,1.425206,1.0000,0.000,155,878,9,6,0.779,0.020
2025-09-22 08:09:46,714,0,1.425206,1.425206,1.0000,0.000,155,878,9,6,0.779,0.020
2025-09-22 08:09:54,748,1,1.391725,1.391725,1.0000,0.000,155,878,9,6,0.779,0.020
2025-09-22 08:10:12,782,0,1.391725,1.391725,1.0000,0.000,155,878,9,6,0.779,0.020
2025-09-22 08:10:24,816,1,1.306619,1.306619,1.0000,0.000,155,878,9,6,0.779,0.020
2025-09-22 08:10:41,850,1,1.278708,1.278708,1.0000,0.000,155,878,9,6,0.779,0.020
2025-09-22 08:11:45,884,0,1.278708,1.278708,1.0000,0.000,155,878,9,6,0.779,0.020
2025-09-22 08:12:06,918,1,1.246587,1.246587,1.0000,0.000,164,821,11,8,0.822,0.020
2025-09-22 08:12:34,952,0,1.246587,1.246587,1.0000,0.000,164,821,11,8,0.822,0.020
2025-09-22 08:13:59,986,0,1.246587,1.246587,1.0000,0.000,164,821,11,8,0.822,0.020
2025-09-22 08:14:07,1020,0,1.246587,1.246587,1.0000,0.000,164,821,11,8,0.822,0.020
